Bandai Visual, 1
Victor Entertainment, 6
Genco, 16
Fuji TV, 16
Shueisha, 16
OB Planning, 18
Studio Jack, 18
TV Tokyo, 20
Aniplex, 20
Shueisha, 20
Production I.G, 22
Nihon Ad Systems, 22
TV Tokyo, 24
Sotsu, 24
Marvelous, 24
Starchild Records, 24
Media Factory, 24
DAX Production, 24
Studio Jack, 24
Group TAC, 26
Rondo Robe, 26
Fuji TV, 26
Pioneer LDC, 26
TV Tokyo, 28
Aniplex, 28
d-rights, 28
Tohokushinsha Film Corporation, 28
Atelier Musa, 28
TV Tokyo, 30
Kadokawa Shoten, 30
Nihon Ad Systems, 30
Audio Tanaka, 30
TV Tokyo, 32
Toei Animation, 32
Kadokawa Shoten, 32
Movic, 32
Sega, 32
TV Tokyo Music, 32
Audio Tanaka, 32
Aniplex, 44
Fuji TV, 46
Sony Music Entertainment, 46
Bandai Visual, 48
Yomiko Advertising, 48
Bandai, 48
CyberConnect2, 48
Bandai Visual, 50
TBS, 50
TV Tokyo Music, 52
Mainichi Broadcasting System, 54
Toho, 54
TYO Animations, 54
TYO, 54
Production I.G, 56
Youmex, 58
Toshiba EMI, 58
Lantis, 60
Kadokawa Shoten, 60
Fuji TV, 60
Lantis, 62
King Records, 62
Mellow Head, 64
Pony Canyon, 64
TBS, 64
Memory-Tech, 64
Studio Jack, 64
Genco, 66
Lantis, 66
Imagica, 66
TV Tokyo Music, 66
Cosmic Ray, 66
King Records, 66
GDH, 68
Dentsu, 68
TBS, 68
Sotsu Music Publishing, 68
Tatsunoko Production, 72
Kadokawa Shoten, 72
Fuji TV, 72
Imagica, 72
Rakuonsha, 72
Kadokawa Pictures Japan, 72
KlockWorx, 72
Happinet Pictures, 72
Animation Do, 72
Aniplex, 74
Sogo Vision, 74
Starchild Records, 76
Omnibus Japan, 76
Sotsu, 80
Nagoya TV Housou, 80
Bandai Visual, 82
Bandai Visual, 84
Sotsu, 86
Nagoya TV Housou, 86
Sotsu, 88
Shochiku, 88
Atelier Musa, 88
Nagoya TV Housou, 88
TV Asahi, 90
TV Asahi, 92
Sotsu, 92
Sotsu, 94
Mainichi Broadcasting System, 94
Sony Music Entertainment, 94
TV Asahi, 96
Sotsu, 96
Bandai Visual, 98
TV Tokyo Music, 98
Studio Zain, 98
Kadokawa Shoten, 100
Rondo Robe, 100
Animax, 102
Toei Video, 102
Sunny Side Up, 102
Bandai Visual, 104
Aniplex, 108
m.o.e., 112
TV Tokyo Music, 114
TV Tokyo, 116
Geneon Universal Entertainment, 116
SoftX, 116
Pioneer LDC, 116
TV Tokyo Music, 116
Atelier Musa, 116
Pioneer LDC, 118
TV Tokyo, 120
Nihon Ad Systems, 120
King Records, 120
Nihon Ad Systems, 122
Lantis, 126
TBS, 132
Kodansha, 132
Rondo Robe, 132
Rakuonsha, 132
Marvelous, 134
Fuji TV, 134
Fuji TV, 136
Movic, 144
Fuji TV, 144
Fuji Pacific Music Publishing, 144
Geneon Universal Entertainment, 146
TBS, 146
Rondo Robe, 146
Movic, 146
Aniplex, 150
Mainichi Broadcasting System, 150
AIC, 152
TV Asahi, 152
Sotsu Music Publishing, 152
TV Tokyo, 154
Nihon Ad Systems, 154
TV Tokyo Music, 154
Bandai Visual, 156
